Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.041572359999999996,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024601342086098082,0.01,0.05,0.0,0.0,0.002,0.0
3.232103970549725e-27,0.041572359999999996,7.287846278553515e-25,6.4545436747209395e-49,2.1483706685767253e-26,-1.4312386108665522e-224,7.287926282871015e-25,0.938,3.7066595305946323e-121,2.215329359890594e-22,6.041456810099622e-70,8.000431749924928e-30,3.0366026160639645e-23,0.0,0.0,0.024601342086098082,0.01,0.05,1.1028757456158628e-126,4.684011321785658e-161,0.002,-1.4043180183311522e-243
9.049891117539231e-27,0.041572359999999996,2.040596957994984e-24,3.898544379531447e-48,6.015437872014831e-26,5.028380304323651e-222,2.040619359203884e-24,0.938,2.2549417938846052e-119,6.202922207693667e-22,7.172417524950271e-69,2.2401208899789799e-29,8.502487324979102e-23,0.0,0.0,0.024601342086098082,0.01,0.05,1.0877008592488923e-115,5.175962723378853e-159,0.002,8.866796827475528e-241
2.068546541151824e-26,0.041572359999999996,4.664221618274249e-24,1.8769813006088492e-47,1.3749572278891042e-25,5.5333075092550615e-219,4.664272821037449e-24,0.938,1.0179885136120403e-117,1.4178107903299814e-21,7.04192205785212e-68,5.120276319951953e-29,1.9434256742809376e-22,0.0,0.0,0.024601342086098082,0.01,0.05,2.0977087999598403e-114,4.6828218712456644e-157,0.002,1.9554094376618153e-237
4.3956613999476256e-26,0.041572359999999996,9.91147093883278e-24,8.197270466895593e-47,2.921784109264347e-25,4.0782337825024996e-216,9.911579744704579e-24,0.938,3.8437309316801447e-116,3.0128479294512104e-21,6.228500312940305e-67,1.0880587179897902e-28,4.1297795578469924e-22,0.0,0.0,0.024601342086098082,0.01,0.05,3.5909666938554e-113,3.5440301921776243e-155,0.002,2.8830534604416294e-234
9.049891117539229e-26,0.041572359999999996,2.040596957994984e-23,3.4221990563370422e-46,6.015437872014831e-25,2.490260975614003e-213,2.040619359203884e-23,0.938,1.3335688194819558e-114,6.202922207693669e-21,5.235429808323371e-66,2.24012088997898e-28,8.502487324979102e-22,0.0,0.0,0.024601342086098082,0.01,0.05,5.928125068683402e-112,2.4621239538939096e-153,0.002,3.521409173329023e-231
1.8358350552722436e-25,0.041572359999999996,4.139496686218396e-23,1.3980799781192543e-45,1.2202745397515801e-24,1.390233967940176e-210,4.139542128670736e-23,0.938,4.4413409563151004e-113,1.2583070764178585e-20,4.292321668209413e-65,4.544245233957359e-28,1.724790285924332e-21,0.0,0.0,0.024601342086098082,0.01,0.05,9.630550023443155e-111,1.6409951880106644e-151,0.002,3.932085183674896e-228
3.6975269423088854e-25,0.041572359999999996,8.33729614266522e-23,5.651262805314569e-45,2.4577360448517742e-24,7.429740887286831e-208,8.337387667604441e-23,0.938,1.4497276601254984e-111,2.534336787714842e-20,3.476033372870345e-64,9.152493921914117e-28,3.473873392777176e-21,0.0,0.0,0.024601342086098082,0.01,0.05,1.552526869102261e-109,1.0716327079145468e-149,0.002,4.202967870070234e-225
7.420910716382168e-25,0.041572359999999996,1.673289505555887e-22,2.272347918860206e-44,4.932659055052162e-24,3.886053779811029e-205,1.6733078745471848e-22,0.938,4.685269288239036e-110,5.0863962103088084e-20,2.797814066554914e-63,1.8368991297827634e-27,6.972039606482865e-21,0.0,0.0,0.024601342086098082,0.01,0.05,2.4933535700714407e-108,6.927758486131592e-148,0.002,4.3967327023434966e-222
1.4867678264528735e-24,0.041572359999999996,3.3524092881346162e-22,9.113131487076448e-44,9.882505075452937e-24,2.010947226241254e-202,3.3524460901206667e-22,0.938,1.5067123877880933e-108,1.0190515055496744e-19,2.24506958823499e-62,3.680198604965466e-27,1.3968372033894236e-20,0.0,0.0,0.024601342086098082,0.01,0.05,3.9968141244432375e-107,4.4560799950611735e-146,0.002,4.5504714842211466e-219
