Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2(13)
0.0,0.0505958752244895,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03396873397174756,0.01,0.05,0.0,0.0,0.002,0.0,0.0
3.0007954968748956e-27,0.0505958752244895,7.464582064170651e-25,1.0865610217201634e-46,1.4173936943919607e-25,-6.072661052602578e-210,5.157494735514649e-24,0.938,2.9822442605634747e-114,2.269052772796977e-22,4.828318137823414e-66,4.411036529097582e-24,3.11024252673777e-23,0.0,0.0,0.03396873397174756,0.01,0.05,-7.448720672152234e-136,3.780521211286633e-146,0.002,-5.85578597006441e-228,1.6394624667194424e-64
8.402227391249708e-27,0.0505958752244895,2.0900829779677826e-24,6.562828571189787e-46,3.96870234429749e-25,2.133512101175102e-207,1.4440985259441017e-23,0.938,1.8142447533204192e-112,6.353347763831536e-22,5.7321792932239575e-65,1.235090228147323e-23,8.708679074865757e-23,0.0,0.0,0.03396873397174756,0.01,0.05,1.131177520038322e-124,4.177581270555289e-144,0.002,3.6973152320476545e-225,2.4775556851855044e-63
1.920509117999933e-26,0.0505958752244895,4.777332521069216e-24,3.159719451162235e-45,9.07131964410855e-25,2.3477497551900933e-204,3.300796630729375e-23,0.938,8.190368046256769e-111,1.4521937745900654e-21,5.627887621446969e-64,2.8230633786224525e-23,1.9905552171121733e-22,0.0,0.0,0.03396873397174756,0.01,0.05,2.181556645801812e-123,3.779561410340109e-142,0.002,8.153750784522968e-222,2.665241349169455e-62
4.0810818757498583e-26,0.0505958752244895,1.0151831607272085e-23,1.3799324975846076e-44,1.9276554243730668e-24,1.730370551270239e-201,7.014192840299922e-23,0.938,3.0925271337477747e-109,3.0859117710038893e-21,4.977802867370426e-63,5.999009679572711e-23,4.229929836363367e-22,0.0,0.0,0.03396873397174756,0.01,0.05,3.7345017840367485e-122,2.8604290575661505e-140,0.002,1.2021880923676497e-218,2.4498159805672934e-61
8.402227391249709e-26,0.0505958752244895,2.0900829779677822e-23,5.760946537160307e-44,3.96870234429749e-24,1.056603050976283e-198,1.4440985259441024e-22,0.938,1.072941325049378e-107,6.353347763831536e-21,4.184143245147564e-62,1.235090228147322e-22,8.708679074865755e-22,0.0,0.0,0.03396873397174756,0.01,0.05,6.165079081038019e-121,1.987209622705702e-138,0.002,1.4683724164756524e-215,2.095869148867579e-60
1.704451842224941e-25,0.0505958752244895,4.23988261244893e-23,2.3535346354867432e-43,8.050796184146337e-24,5.898680766718979e-196,2.9294570097723234e-22,0.938,3.573342583486629e-106,1.2888219749486832e-20,3.430413427659052e-61,2.505468748527423e-22,1.7666177551870533e-21,0.0,0.0,0.03396873397174756,0.01,0.05,1.0015494241521827e-119,1.3244667975677207e-136,0.002,1.6396178741940234e-212,1.7329051424194125e-59
3.4329100484248807e-25,0.0505958752244895,8.539481881411226e-23,9.513363294450458e-43,1.621498386384403e-23,3.1523952575031857e-193,5.900173977428771e-22,0.938,1.1663985344378818e-104,2.5957963720797423e-20,2.778037733192474e-60,5.046225789287621e-22,3.5581174505880085e-21,0.0,0.0,0.03396873397174756,0.01,0.05,1.6145831628983482e-118,8.649275459125724e-135,0.002,1.7525717075106265e-209,1.4091696824552054e-58
6.88982646082476e-25,0.0505958752244895,1.7138680419335818e-22,3.8252815394067054e-42,3.254335922323942e-23,1.6488297091006846e-190,1.184160791274169e-21,0.938,3.7695985125756253e-103,5.2097451663418614e-20,2.2360064514939107e-59,1.0127739870807994e-21,7.141116841389914e-21,0.0,0.0,0.03396873397174756,0.01,0.05,2.593015794771839e-117,5.591476540264948e-133,0.002,1.8333686047153097e-206,1.1365463995777011e-57
1.380365928562452e-24,0.0505958752244895,3.433707749518501e-22,1.534108987200569e-41,6.52001099420302e-23,8.532330528429845e-188,2.3724475783367602e-21,0.938,1.2122463889412787e-101,1.04376427548661e-19,1.7942543585562766e-58,2.029076803384866e-21,1.4307115622993717e-20,0.0,0.0,0.03396873397174756,0.01,0.05,4.156571405615589e-116,3.5965553365936333e-131,0.002,1.8974752664351364e-203,9.129358761854896e-57
2.763132493522404e-24,0.0505958752244895,6.873387164688343e-22,6.144437818790636e-41,1.3051361137961175e-22,4.391833977515006e-185,4.749021152461977e-21,0.938,3.888776429137908e-100,2.0893437931914574e-19,1.4375869038347574e-57,4.061682435992965e-21,2.863911318620129e-20,0.0,0.0,0.03396873397174756,0.01,0.05,6.656711150836769e-115,2.3075762956873698e-129,0.002,1.9533794222802103e-200,7.3183110355699235e-56
