Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
0.0,0.04069755588184878,0.0,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.927332117530637e-27,0.04069755588184878,6.540528387662078e-24,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,-1.3293506413512823e-141,5.949877472148714e-159,0.002,-8.044729836972596e-241,-1.1983278147594044e-200,2.243122305227263e-22,6.197398752311838e-119,6.73236039196208e-23,1.5546797612121443e-72,4.3257603032060055e-24,9.228200351900298e-24,2.2147680844560716e-24,5.162268453261938e-50,-4.2822595375420177e-225,-2.1207819858992117e-164
2.779652992908578e-26,0.04069755588184878,1.831347948545382e-23,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,9.555855662347895e-131,6.574780245906532e-157,0.002,5.079403926230543e-238,2.1709467152386117e-198,6.280742454636334e-22,3.7701800909617695e-117,1.885060909749382e-22,1.8457158125110585e-71,1.2112128848976816e-23,2.5838960985320838e-23,6.2013506364770006e-24,3.1180101457702117e-49,1.504489134204197e-222,2.1462864749400102e-162
6.353492555219608e-26,0.04069755588184878,4.18593816810373e-23,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,1.8429150206199747e-129,5.948366788483178e-155,0.002,1.1201693938422039e-234,9.164491536344659e-196,1.4355982753454477e-21,1.7020395114094614e-115,4.30871065085573e-22,1.8121347296688772e-70,2.768486594051844e-23,5.906048225216192e-23,1.417451574051886e-23,1.5011876662085728e-48,1.6555631364388737e-219,4.494653872979172e-160
1.3501171679841668e-25,0.04069755588184878,8.895118607220427e-23,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,3.154797490856045e-128,4.501813665486792e-153,0.002,1.6515764857964158e-231,2.9477575624453143e-193,3.050646335109076e-21,6.4265773430180126e-114,9.156010133068426e-22,1.6028126466192756e-69,5.883034012360167e-23,1.2550352478584405e-22,3.0120845948602574e-23,6.556080935642676e-48,1.2202057270616934e-216,7.223161739672543e-158
2.7796529929085786e-25,0.04069755588184878,1.8313479485453824e-22,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,5.208077848275814e-127,3.127519423009926e-151,0.002,2.0172628316968786e-228,8.43216985151829e-191,6.2807424546363294e-21,2.2296782248737725e-112,1.885060909749382e-21,1.3472606061902708e-68,1.211212884897681e-22,2.5838960985320836e-22,6.201350636477001e-23,2.737034733919493e-47,7.450849721667734e-214,1.0327051737501104e-155
5.638724642757402e-25,0.04069755588184878,3.7150201241920615e-22,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,8.460795557227747e-126,2.0844784501822196e-149,0.002,2.2525213349730965e-225,2.2800952095256495e-188,1.2740934693690825e-20,7.42575941703769e-111,3.82398070263446e-21,1.1045656430121117e-67,2.457031852221009e-22,5.24161779987937e-22,1.2579882719710488e-22,1.11816799605036e-46,4.159573825601319e-211,1.395956258459332e-153
1.135686794245505e-24,0.04069755588184878,7.482364475485424e-22,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,1.3639524642519816e-124,1.3612442635290604e-147,0.002,2.4076982962743586e-222,5.9978850548741304e-186,2.5661319171799766e-20,2.423891552169602e-109,7.701820288404617e-21,8.945058955094153e-67,4.948669786867664e-22,1.0557061202573942e-21,2.533694688617746e-22,4.5198138197166764e-46,2.2229751565880605e-208,1.8358699997363026e-151
2.2793154541850344e-24,0.04069755588184878,1.5017053178072161e-21,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,2.1905036323893045e-123,8.800003423480367e-146,0.002,2.5186977782985968e-219,1.5563970541467407e-183,5.150208812801747e-20,7.8335986542599e-108,1.5457499459944934e-20,7.199761649601228e-66,9.931945656160957e-22,2.1187948007963083e-21,5.08510752191114e-22,1.8173972580447537e-45,1.1627055560533563e-205,2.3818336890254704e-149
4.566572774064093e-24,0.04069755588184878,3.008643058324568e-21,0.938,0.0,0.0,0.02732326386127457,0.01,0.05,3.5113495184428874e-122,5.660347324512244e-144,0.002,2.60676806925519e-216,4.0114044578096575e-181,1.0318362604045212e-19,2.519167929784048e-106,3.096885780302558e-20,5.777355298654432e-65,1.98984973947475e-21,4.244972161874138e-21,1.018793318849793e-21,7.288575855550417e-45,6.016745123364106e-203,3.069347455249889e-147
