Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45)
0.0,0.0357716342693874,0.0,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0828898752856599e-26,0.0357716342693874,5.57066696991545e-24,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,7.455400354950338e-147,2.493576879940503e-167,0.002,-5.361031198512504e-252,-2.890501644359045e-210,2.293981560338153e-22,2.2228248962001416e-123,6.885006029641008e-23,1.7480973083960068e-75,3.3056825175171058e-24,9.437435218326432e-24,2.2649844523983435e-24,1.0727183576707153e-51,-1.6821461371586262e-235,-1.4156763945646866e-170,6.252769765953799e-128
3.032091650799848e-26,0.0357716342693874,1.5597867515763255e-23,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,4.260528504376629e-136,2.7554718740861393e-165,0.002,3.3849294499752874e-249,5.236567971887186e-208,6.423148368946826e-22,1.3522528584965295e-121,1.9278016882994824e-22,2.0753411245277416e-74,9.255911049047894e-24,2.6424818611314008e-23,6.341956466715361e-24,6.479218880331128e-51,5.909895384735495e-233,1.4327012964351145e-168,3.573261400580748e-117
6.930495201828223e-26,0.0357716342693874,3.565226860745887e-23,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,8.216733560781538e-135,2.4929437593060268e-163,0.002,7.464841201453066e-246,2.2105785702290457e-205,1.4681481986164175e-21,6.104715793641144e-120,4.406403858970246e-22,2.0375822226663938e-73,2.1156368112109476e-23,6.039958539728915e-23,1.4495900495349397e-23,3.1194649841064545e-50,6.503340381920543e-230,3.0002967945319135e-166,6.891289843862848e-116
1.4727302303884973e-25,0.0357716342693874,7.576107079085011e-23,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,1.4065830618602682e-133,1.8866974216637213e-161,0.002,1.1006153414219475e-242,7.110323220805933e-203,3.1198149220598865e-21,2.3050245274567617e-118,9.363608200311772e-22,1.8022184010639659e-72,4.4957282238232626e-23,1.2834911896923945e-22,3.0803788552617464e-23,1.3623523142418238e-49,4.793180643131603e-227,4.821645809974201e-164,1.1796867280854487e-114
3.0320916507998478e-25,0.0357716342693874,1.559786751576326e-22,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,2.3220489321872757e-132,1.310734577229142e-159,0.002,1.344309778771967e-239,2.033934332350436e-200,6.423148368946824e-21,7.997200877468683e-117,1.9278016882994823e-21,1.51487315789908e-71,9.255911049047892e-23,2.6424818611314003e-22,6.341956466715361e-23,5.6875527323702726e-49,2.9268235567768483e-224,6.893572030378961e-162,1.9474785098739247e-113
6.150814491622548e-25,0.0357716342693874,3.164138838911976e-22,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,3.772290310579293e-131,8.73599044674657e-158,0.002,1.5010867250004076e-236,5.4998464325846556e-198,1.3029815262720692e-20,2.6634017888015357e-115,3.9106834248360926e-21,1.2419845396268533e-70,1.877627669949715e-22,5.3604632040094125e-22,1.2865111689622588e-22,2.3235508714491955e-48,1.6339530541756473e-221,9.318366232254855e-160,3.163780957996445e-112
1.2388260173267948e-24,0.0357716342693874,6.372843013583278e-22,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,6.0812541740396895e-130,5.704936350308331e-156,0.002,1.6044971003069007e-233,1.4467574241764353e-195,2.6243149050268397e-20,8.693787036915718e-114,7.876446897909315e-21,1.0057912808135663e-69,3.7817008000395654e-22,1.0796425889765436e-21,2.5911422135437044e-22,9.39216412621978e-48,8.73223363438875e-219,1.2254903338614557e-157,5.10028496117791e-111
2.486315153655875e-24,0.0357716342693874,1.2790251362925885e-21,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,9.766476882653039e-129,3.688056637484092e-154,0.002,1.6784674757976943e-230,3.754204978008807e-193,5.26698166253637e-20,2.809681743882138e-112,1.5807973844055758e-20,8.09548324662683e-69,7.58984706021926e-22,2.166835126127748e-21,5.200404302706596e-22,3.776547886914861e-47,4.5673099554763115e-216,1.5899351060727498e-155,8.191042596054771e-110
4.981293426314036e-24,0.0357716342693874,2.5625068061611118e-21,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,1.5655540482052525e-127,2.3722356135606853e-152,0.002,1.7371577721204352e-227,9.675959321687488e-191,1.0552315177555386e-19,9.035515418242308e-111,3.1671027736348646e-20,6.496115469692769e-68,1.5206139580578631e-21,4.3412202004301575e-21,1.0418928481032377e-21,1.5145646128857827e-46,2.3634822899436485e-213,2.0488681868608163e-153,1.3130137311772375e-108
9.971249971630356e-24,0.0357716342693874,5.1294701458981666e-21,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,2.5072211550435375e-126,1.5220437772618318e-150,0.002,1.7883385914648594e-224,2.4854256696565388e-188,2.1122982207593247e-19,2.898511367336298e-109,6.339713552093444e-20,5.204797458341827e-67,3.0438724621297287e-21,8.689990349034977e-21,2.0855976837683943e-21,6.066158378618964e-46,1.2165517723029456e-210,2.631388887322543e-151,2.102779500846591e-107
1.9951163062263e-23,0.0357716342693874,1.026339682537231e-20,0.938,0.0,0.0,0.024016130224847377,0.01,0.05,4.013423133685886e-125,9.75330029300489e-149,0.002,1.836133710802262e-221,6.373438790107951e-186,4.2264316267668257e-19,9.28668750807942e-108,1.2684935109010604e-19,4.167002706353018e-66,6.090389470273429e-21,1.7387530646244614e-20,4.173007355098708e-21,2.428044237947735e-45,6.245310429888735e-208,3.373845652028172e-149,3.3660132259589614e-106
