Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20)
0.0,0.03159427132446203,0.0,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1771871242727403e-26,0.03159427132446203,4.770557464631756e-24,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,-6.805922557826865e-153,1.632426760903204e-176,0.002,-2.9146868391890876e-264,-7.7006731024115115e-221,2.3436130814388347e-22,2.907757839656686e-128,7.033966826862104e-23,1.0227060308222796e-78,2.4565688591113802e-24,9.64161918966823e-24,2.3139886055203754e-24,1.536003523864706e-53,-6.424149928753777e-247,-2.249193761765221e-177,-2.4108791316783605e-131,3.2887575838245314e-67
3.296123947963673e-26,0.03159427132446203,1.3357560900968916e-23,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,5.764834791655754e-142,1.8038770171564342e-174,0.002,1.8403193238850375e-261,1.3950899559941066e-218,6.56211662802874e-22,1.7689309920473018e-126,1.969510711521389e-22,1.2141565997922213e-77,6.878392805511866e-24,2.699653373107105e-23,6.47916809545705e-24,9.277461284142912e-53,2.257000931257088e-244,2.276242529614821e-175,2.042091335155356e-120,4.969970439388814e-66
7.533997595345538e-26,0.03159427132446203,3.0531567773643236e-23,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,1.1117895710099035e-140,1.6320122860691986e-172,0.002,4.05848680599696e-258,5.889269416172324e-216,1.4999123721208548e-21,7.985800064747026e-125,4.501738769191746e-22,1.192066149526482e-76,1.5722040698312836e-23,6.170636281387668e-23,1.48095270753304e-23,4.4666982473986946e-52,2.4836387688518456e-241,4.7668018324160055e-173,3.9383190035580715e-119,5.3464674045006275e-65
1.6009744890109267e-25,0.03159427132446203,6.487958151899189e-23,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,1.9032190495851614e-139,1.2351315029692711e-170,0.002,5.98382835091933e-255,1.894282774986239e-213,3.1873137907568166e-21,3.015286156282514e-123,9.56619488453246e-22,1.0543690095366054e-75,3.3409336483914776e-23,1.3112602097948792e-22,3.14702450350771e-23,1.9507244753083107e-51,1.8305253257973554e-238,7.660518827381005e-171,6.7418186794284114e-118,4.914324659832392e-64
3.296123947963673e-25,0.03159427132446203,1.3357560900968917e-22,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,3.141917394868635e-138,8.580758895293915e-169,0.002,7.308746901748413e-252,5.418666144389518e-211,6.562116628028738e-21,1.0461428417618168e-121,1.969510711521389e-21,8.862606830142172e-75,6.878392805511866e-23,2.699653373107104e-22,6.47916809545705e-23,8.143890683531876e-51,1.1177598016252492e-235,1.095234706319305e-168,1.1129689504063395e-116,4.204308210788327e-63
6.686422865869166e-25,0.03159427132446203,2.7096766399108373e-22,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,5.10420970416071e-137,5.7190394636264776e-167,0.002,8.161112210778166e-249,1.4652307692329544e-208,1.3311722302572579e-20,3.484092445321465e-120,3.995293157657675e-21,7.266100535502777e-74,1.395331111975264e-22,5.476439699731554e-22,1.3143455279355734e-22,3.327045072832927e-50,6.24009956962341e-233,1.480480374874611e-166,1.8080764199885127e-115,3.4762033320278033e-62
1.346702070168015e-24,0.03159427132446203,5.45751773953873e-22,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,8.22842220181911e-136,3.7347518090578013e-165,0.002,8.723334008215976e-246,3.854350334148896e-206,2.6810933651660243e-20,1.1372658028509027e-118,8.046858049930246e-21,5.884276600029962e-73,2.8103147748234182e-22,1.1030012352980456e-21,2.647202964715309e-22,1.344844813313533e-49,3.3348575838558636e-230,1.9470305670115562e-164,2.9147735244510943e-114,2.8267908182809597e-61
2.7028216373302117e-24,0.03159427132446203,1.0953199938794516e-21,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,1.321482327923492e-134,2.4143961217049426e-163,0.002,9.12549633808658e-243,1.0001691347597947e-203,5.380935634983551e-20,3.675446558151265e-117,1.614998783447539e-20,4.736177728201456e-72,5.640282100519725e-22,2.2137157659478255e-21,5.312917838274782e-22,5.407561845913443e-49,1.7442648560007694e-227,2.526051952882921e-162,4.6811176783996573e-113,2.2799092024736504e-60
5.415060771654605e-24,0.03159427132446203,2.1944564337306094e-21,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,2.1183198808553557e-133,1.552990376271433e-161,0.002,9.444583893800465e-240,2.577801670244763e-201,1.0780620174618581e-19,1.1819685313984334e-115,3.235624740356568e-20,3.800484352831415e-71,1.1300216751912331e-21,4.435144827247386e-21,1.0644347585393725e-21,2.1686741593289044e-48,9.026186390508003e-225,3.2551941678980385e-160,7.5037722205998465e-112,1.8313470582080954e-59
1.0839539040303392e-23,0.03159427132446203,4.392729313432929e-21,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,3.392471492709564e-132,9.964100213503228e-160,0.002,9.722843905561618e-237,6.621497909940153e-199,2.157998925388855e-19,3.791647809246123e-114,6.476876654174626e-20,3.0450122680869314e-70,2.262008605469751e-21,8.878002949846504e-21,2.1307207079631614e-21,8.686008381688789e-48,4.6460356810223794e-222,4.1806895213811926e-158,1.201722269148695e-110,1.4680513424493271e-58
2.168849557760097e-23,0.03159427132446203,8.78927507283758e-21,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,5.430485850309098e-131,6.385024069879135e-158,0.002,9.982696534749108e-234,1.6979671588337202e-196,4.3178727412428106e-19,1.2148252631370126e-112,1.2959380481810744e-19,2.4378613122995104e-69,4.5259824660267756e-21,1.7763719195044747e-20,4.263292606810739e-21,3.4766669918063236e-47,2.3850966113487708e-219,5.360287577484275e-156,1.923650601632101e-109,1.175631715988166e-57
4.338640865219612e-23,0.03159427132446203,1.7582366591646934e-20,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,8.690814419879276e-130,4.0889773297171277e-156,0.002,1.0235874655421855e-230,4.350465307711706e-194,8.637620372950571e-19,3.8898393481939626e-111,2.5924388137082983e-19,1.9510299656790867e-68,9.053930187140772e-21,3.5535151685441226e-20,8.528436404505894e-21,1.3911196535835579e-46,1.2227917677940062e-216,6.86693730299682e-154,3.078556939423592e-108,9.409818623568644e-57
8.678223480138642e-23,0.03159427132446203,3.516854962926584e-20,0.938,0.0,0.0,0.021211559102201332,0.01,0.05,1.3906970766777054e-128,2.6177656185824178e-154,0.002,1.0488501406097836e-227,1.1141890463068602e-191,1.7277115636365487e-18,1.2451324935488847e-109,5.185440344762748e-19,1.561120402239513e-67,1.8109825629368562e-20,7.107801666623418e-20,1.7058723999896205e-20,5.565384457165152e-46,6.2648504815720604e-214,8.793373962796661e-152,4.92626388461139e-107,7.529761322649742e-56
1.73573887099767e-22,0.03159427132446203,7.034091570450445e-20,0.938,0.0,0.0,0.02121155910220133,0.01,0.05,2.2252609134707684e-127,1.675632486613475e-152,0.002,1.0743793429258583e-224,2.8529256238252317e-189,3.4556106163192913e-18,3.985038335790077e-108,1.0371443406871654e-18,1.2490149063732592e-66,3.622161651382335e-20,1.421637466278201e-19,3.4119299190676823e-20,2.2263349644023276e-45,3.2086679968431164e-211,1.1257883586255103e-149,7.882480440876464e-106,6.024571720745711e-55
3.471571916965282e-22,0.03159427132446203,1.4068564785498483e-19,0.938,0.0,0.0,0.021211559102201325,0.01,0.049999999999999996,3.560572894786705e-126,1.0724887965001646e-150,0.002,1.1003471672372991e-221,7.304259830057306e-187,6.911408721683809e-18,1.2753105735878939e-106,2.0743449531089493e-18,9.992593615216692e-66,7.244519828272965e-20,2.843352065509919e-19,6.824044957223805e-20,8.9057022341255e-45,1.6431105973642625e-208,1.4411604733218674e-147,1.2612335286669478e-104,4.819962460268907e-54
