Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38)
0.0,0.04836553141748826,0.0,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.703670814389145e-27,0.04836553141748826,8.806695081275394e-24,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,-1.2010762108371827e-135,4.162091653712516e-149,0.002,-1.2630344323094667e-227,-2.415300978929936e-189,2.390233206787169e-22,1.1912868230506167e-113,7.173889418078826e-23,4.930644156047225e-69,6.4466756527926624e-24,9.833414285344719e-24,2.3600194284827316e-24,5.273936343217042e-48,-8.071791700564889e-213,-4.4772157557802824e-157,-7.075610066932539e-122,8.928366222239924e-64,2.462043617636654e-65
2.7170278280289603e-26,0.04836553141748826,2.4658746227571105e-23,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,1.8612342847863619e-124,4.5992271447123924e-147,0.002,7.974738973620327e-225,4.3756722165573357e-187,6.6926529790040735e-22,7.247179084204062e-112,2.0086890370620716e-22,5.853660742059268e-68,1.8050691827819455e-23,2.753355999896521e-23,6.608054399751649e-24,3.1854575513030943e-47,2.8358680281157045e-210,4.531058677325229e-155,1.0964672696116233e-110,1.3492546986413645e-62,3.720640303810625e-64
6.210349321209053e-26,0.04836553141748826,5.636284852016253e-23,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,3.589523265810873e-123,4.16103489042178e-145,0.002,1.7586824460963758e-221,1.8471577728231389e-184,1.5297492523437877e-21,3.271723060943493e-110,4.591289227570449e-22,5.7471588282886487e-67,4.125872417787303e-23,6.29338514262062e-23,1.5104124342289482e-23,1.5336606886075164e-46,3.1206330841402814e-207,9.488733526702179e-153,2.1146154485496406e-109,1.451466634448851e-61,4.0024950555403334e-63
1.319699230756924e-25,0.04836553141748826,1.197710531053454e-22,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,6.144732057493457e-122,3.1491339385009386e-143,0.002,2.5929994069840057e-218,5.941380678103701e-182,3.250717161230547e-21,1.2353403757751112e-108,9.756489608587206e-22,5.083296899118452e-66,8.767478887798017e-23,1.3373443428068817e-22,3.209626422736516e-23,6.697899155885649e-46,2.3000115655602657e-204,1.524892881742305e-150,3.619908371555379e-108,1.3341479027104554e-60,3.6789825251509994e-62
2.7170278280289606e-25,0.04836553141748826,2.4658746227571123e-22,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,1.014399278702264e-120,2.1877799238623865e-141,0.002,3.167132355846304e-215,1.6995539819339654e-179,6.69265297900406e-21,4.2859696369570495e-107,2.008689037062072e-21,4.2728173353240335e-65,1.805069182781944e-22,2.7533559998965215e-22,6.608054399751649e-23,2.7962410491736785e-45,1.4044386248172747e-201,2.1801599149313434e-148,5.975903257603282e-107,1.1413916194062189e-59,3.1474470061526674e-61
5.511685022573034e-25,0.04836553141748826,5.002202806164431e-22,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,1.6479448278596078e-119,1.4581460538599968e-139,0.002,3.5364916708578903e-212,4.595667498135253e-177,1.357652461455106e-20,1.4274068355568679e-105,4.074769189468775e-21,3.5031138042485934e-64,3.661711770786226e-22,5.585379314075801e-22,1.3404910353781918e-22,1.1423557076861862e-44,7.840536800070762e-199,2.9470249157742565e-146,9.70816819665839e-106,9.437246632745675e-59,2.6023700503437524e-60
1.1100999411661182e-24,0.04836553141748826,1.0074859172979076e-21,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,2.6566277556878423e-118,9.522252201892145e-138,0.002,3.7801217855342766e-209,1.2089094038301318e-174,2.734426788564496e-20,4.65929365052824e-104,8.206929494282182e-21,2.8369123830392387e-63,7.37499694679478e-22,1.1249425942434356e-21,2.6998622261842453e-22,4.617584417431013e-44,4.190169294170697e-196,3.875733640333775e-144,1.5650395811648105e-104,7.674212231922807e-58,2.116204105871422e-59
2.2279628189837476e-24,0.04836553141748826,2.022017190660841e-21,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,4.266536420404094e-117,6.155827739442566e-136,0.002,3.954392607103208e-206,3.1370108257117236e-172,5.487975442783238e-20,1.5058031964305093e-102,1.6471250103909e-20,2.2833938916693717e-62,1.4801567298811849e-21,2.2577519199151472e-21,5.418604607796354e-22,1.8567103853749454e-43,2.191627335419082e-193,5.0283260555279355e-142,2.513448948717278e-103,6.189530182476255e-57,1.7067952761438594e-58
4.463688574619006e-24,0.04836553141748826,4.051079737386724e-21,0.938,0.0,0.0,0.0324713400614849,0.01,0.05,6.839203998273828e-116,3.959557899959292e-134,0.002,4.092664260996228e-203,8.085224253624287e-170,1.0995072751220563e-19,4.842437414062636e-101,3.299989132316265e-20,1.832279794940356e-61,2.9654708002845828e-21,4.523370571258569e-21,1.0856089371020566e-21,7.446239079370185e-43,1.1341188673227796e-190,6.479747034317673e-140,4.029026761339937e-102,4.971767243655927e-56,1.3709907853076647e-57
