Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38),N2X(46)
0.0,0.05842168493353951,0.0,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.99811782310616e-27,0.05842168493353951,1.1331382248174844e-23,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,5.810243536614942e-130,2.95852284538123e-140,0.002,-8.183159636126781e-216,-3.0194448368355204e-179,2.4359869265744857e-22,6.091139014322387e-109,7.311211636382859e-23,6.716204647243934e-66,8.926187450478428e-24,1.0021644990401744e-23,2.4051947976964184e-24,3.2890420995074426e-46,-7.964770284618401e-202,-1.4430370257345478e-150,1.066804526839941e-118,1.1274561596793404e-62,2.3327593742026197e-63,1.2741331135069747e-137
2.519472990469725e-26,0.05842168493353951,3.1727870294889574e-23,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,8.204054733631306e-119,3.2692501112032234e-138,0.002,5.1668078415599407e-213,5.470167491506558e-177,6.820763394408559e-22,3.7055371120332614e-107,2.047139258187201e-22,7.973478157207997e-65,2.4993324861339596e-23,2.8060605973124886e-23,6.734545433549971e-24,1.986581428102495e-45,2.798268122330953e-199,1.4603909664582733e-148,1.5063291725647945e-107,1.7038117506553264e-61,3.5252659699938037e-62,3.238346547905226e-126
5.758795406787942e-26,0.05842168493353951,7.252084638831904e-23,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,1.5822105562735658e-117,2.9577716757160665e-136,0.002,1.1394447248500557e-209,2.3091908855628585e-174,1.5590316330076699e-21,1.6728565807603115e-105,4.679175447285031e-22,7.82840813682753e-64,5.712759968306192e-23,6.413852793857116e-23,1.5393246705257078e-23,9.564534425367642e-45,3.0792575664399705e-196,3.05828322089535e-146,2.9050634042125977e-106,1.832882932126646e-60,3.7923202636884696e-61,1.2814599910863367e-124
1.2237440239424378e-25,0.05842168493353951,1.5410679857517803e-22,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,2.708510072500183e-116,2.2384861967355796e-134,0.002,1.6799960120098113e-206,7.427509610387636e-172,3.3129422201412953e-21,6.316388149612e-104,9.94324782548069e-22,6.924138343122607e-63,1.2139614932650652e-22,1.3629437186946372e-22,3.271064924867129e-23,4.177083466374452e-44,2.2695164170882998e-193,4.914833260703108e-144,4.97303816824666e-105,1.6847351925584837e-59,3.48579568159743e-60,4.4046139260381605e-123
2.519472990469725e-25,0.05842168493353951,3.1727870294889617e-22,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,4.4713270405602295e-115,1.5551307936405363e-132,0.002,2.0519749109845303e-203,2.1246666756617226e-169,6.820763394408536e-21,2.1914484748777526e-102,2.0471392581872013e-21,5.820155488027239e-62,2.499332486133956e-22,2.806060597312488e-22,6.734545433549973e-23,1.7438501211588463e-43,1.3858176035037622e-190,7.026803385240806e-142,8.2097091803018e-104,1.441326427005766e-58,2.9821715942185758e-59,1.4560022438063317e-121
5.1109309235242995e-25,0.05842168493353951,6.436225116963331e-22,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,7.263905256025381e-114,1.0364880878785055e-130,0.002,2.2912816283505493e-200,5.7451906144214525e-167,1.3836405742942976e-20,7.298438387986449e-101,4.152768209465466e-21,4.771715108068205e-61,5.07007447187173e-22,5.6922943545481895e-22,1.3661506450915658e-22,7.1241967492171035e-43,7.736581525496996e-188,9.498461334293274e-140,1.3337103050758781e-102,1.1917165623687154e-57,2.4657171436443186e-58,4.73319368375939e-120
1.0293846789633449e-24,0.05842168493353951,1.2963101291912093e-21,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,1.1710035371283705e-112,6.768664188960351e-129,0.002,2.449128799451988e-197,1.51129622919605e-164,2.7867690440011685e-20,2.3823318477139113e-99,8.364026112022e-21,3.86425860958226e-60,1.0211558443347251e-21,1.1464761869019586e-21,2.751542848564703e-22,2.8797142321395455e-42,4.134613123642871e-185,1.2491752590105937e-137,2.1500548558373816e-101,9.690841169904475e-57,2.005080231617558e-57,1.526450386534778e-118
2.0659678521851746e-24,0.05842168493353951,2.6016853641809732e-21,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,1.8806282439736267e-111,4.375722244060456e-127,0.002,2.5620383066633602e-194,3.9216773538403324e-162,5.593025983414841e-20,7.69928487087105e-98,1.6786541917135073e-20,3.11029151189293e-59,2.049452638629819e-21,2.300969689796237e-21,5.522327255510978e-22,1.1579204272999946e-41,2.1625692202364684e-182,1.6206636177048523e-135,3.452981753385981e-100,7.816014478358934e-56,1.6171698458193183e-56,4.9035647689425136e-117
4.139134198628834e-24,0.05842168493353951,5.2124358341605425e-21,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,3.01462326541412e-110,2.8145565978858376e-125,0.002,2.6516240684191577e-191,1.0107596886907206e-159,1.1205539862241916e-19,2.4759746299258165e-96,3.363157352736127e-20,2.4958130589766254e-58,4.106046227219964e-21,4.60995669558479e-21,1.1063896069403528e-21,4.643778806041973e-41,1.1190819328278596e-179,2.088466450759363e-133,5.5350859216418535e-99,6.2782478821194365e-55,1.2989987656310037e-55,1.5721684524420289e-115
